CLOSED_AT,OPENED_AT,OPEN,HIGH,LOW,CLOSE,VOLUME,COMPONENT,BUCKET
2022-01-01T02:25:59.999Z,2022-01-01T02:25:00Z,46841.58000000,46856.06000000,46828.10000000,46848.65000000,5.41982000,,2022
2022-01-01T02:26:59.999Z,2022-01-01T02:26:00Z,46848.65000000,46849.65000000,46839.45000000,46844.95000000,5.10275000,,2022
2022-01-01T02:27:59.999Z,2022-01-01T02:27:00Z,46844.96000000,46852.89000000,46830.81000000,46850.01000000,5.81104000,,2022
2022-01-01T02:28:59.999Z,2022-01-01T02:28:00Z,46850.01000000,46865.84000000,46850.01000000,46865.83000000,3.57539000,,2022
2022-01-01T02:29:59.999Z,2022-01-01T02:29:00Z,46865.84000000,46868.04000000,46826.00000000,46826.01000000,4.62947000,,2022
2022-01-01T02:30:59.999Z,2022-01-01T02:30:00Z,46826.00000000,46826.01000000,46815.97000000,46819.27000000,8.47489000,,2022
2022-01-01T02:31:59.999Z,2022-01-01T02:31:00Z,46819.26000000,46821.59000000,46801.28000000,46806.20000000,10.68355000,,2022
2022-01-01T02:32:59.999Z,2022-01-01T02:32:00Z,46806.20000000,46817.88000000,46786.77000000,46791.29000000,11.25839000,,2022
2022-01-01T02:33:59.999Z,2022-01-01T02:33:00Z,46791.30000000,46808.66000000,46788.01000000,46793.52000000,13.02468000,,2022
2022-01-01T02:34:59.999Z,2022-01-01T02:34:00Z,46793.53000000,46800.43000000,46785.00000000,46788.59000000,5.12972000,,2022
2022-01-01T02:35:59.999Z,2022-01-01T02:35:00Z,46788.59000000,46797.59000000,46787.10000000,46794.49000000,2.50253000,,2022
2022-01-01T02:36:59.999Z,2022-01-01T02:36:00Z,46794.49000000,46794.49000000,46728.12000000,46761.09000000,22.15635000,,2022
2022-01-01T02:37:59.999Z,2022-01-01T02:37:00Z,46757.72000000,46761.09000000,46721.96000000,46741.16000000,9.00900000,,2022
2022-01-01T02:38:59.999Z,2022-01-01T02:38:00Z,46741.16000000,46745.18000000,46733.48000000,46738.01000000,2.00542000,,2022
2022-01-01T02:39:59.999Z,2022-01-01T02:39:00Z,46738.00000000,46772.16000000,46734.04000000,46764.00000000,4.55905000,,2022
